Paper,Year,Citations
1985PhR...121..263V,2004,1082
1985PhR...121..263V,2005,1104
1985PhR...121..263V,2006,1129
1985PhR...121..263V,2007,1152
1985PhR...121..263V,2008,1181
1985PhR...121..263V,2009,1206
1985PhR...121..263V,2010,1229
1985PhR...121..263V,2011,1254
1985PhR...121..263V,2012,1282
1985PhR...121..263V,2013,1300
1985PhR...121..263V,2014,1329
1985PhR...121..263V,2015,1353
1985PhR...121..263V,2016,1379
1985PhR...121..263V,2017,1389
1985ApJ...297..621A,1986,14
1985ApJ...297..621A,1987,26
1985ApJ...297..621A,1988,55
1985ApJ...297..621A,1989,95
1985ApJ...297..621A,1990,136
1985ApJ...297..621A,1991,179
1985ApJ...297..621A,1992,223
1985ApJ...297..621A,1993,300
1985ApJ...297..621A,1994,358
1985ApJ...297..621A,1995,413
1985ApJ...297..621A,1996,473
1985ApJ...297..621A,1997,526
1985ApJ...297..621A,1998,576
1985ApJ...297..621A,1999,629
1985ApJ...297..621A,2000,682
1985ApJ...297..621A,2001,726
1985ApJ...297..621A,2002,755
1985ApJ...297..621A,2003,790
1985ApJ...297..621A,2004,827
1985ApJ...297..621A,2005,863
1985ApJ...297..621A,2006,901
1985ApJ...297..621A,2007,942
1985ApJ...297..621A,2008,972
1985ApJ...297..621A,2009,997
1985ApJ...297..621A,2010,1032
1985ApJ...297..621A,2011,1057
1985ApJ...297..621A,2012,1086
1985ApJ...297..621A,2013,1111
1985ApJ...297..621A,2014,1145
1985ApJ...297..621A,2015,1177
1985ApJ...297..621A,2016,1227
1985ApJ...297..621A,2017,1253
1985PhRvL..54..502G,1985,72
1985PhRvL..54..502G,1986,290
1985PhRvL..54..502G,1987,511
1985PhRvL..54..502G,1988,618
1985PhRvL..54..502G,1989,698
1985PhRvL..54..502G,1990,757
1985PhRvL..54..502G,1991,798
1985PhRvL..54..502G,1992,826
1985PhRvL..54..502G,1993,841
1985PhRvL..54..502G,1994,869
1985PhRvL..54..502G,1995,886
1985PhRvL..54..502G,1996,901
1985PhRvL..54..502G,1997,917
1985PhRvL..54..502G,1998,928
1985PhRvL..54..502G,1999,948
1985PhRvL..54..502G,2000,959
1985PhRvL..54..502G,2001,970
1985PhRvL..54..502G,2002,983
1985PhRvL..54..502G,2003,1003
1985PhRvL..54..502G,2004,1015
1985PhRvL..54..502G,2005,1026
1985PhRvL..54..502G,2006,1044
1985PhRvL..54..502G,2007,1065
1985PhRvL..54..502G,2008,1086
1985PhRvL..54..502G,2009,1098
1985PhRvL..54..502G,2010,1113
1985PhRvL..54..502G,2011,1133
1985PhRvL..54..502G,2012,1148
1985PhRvL..54..502G,2013,1157
1985PhRvL..54..502G,2014,1168
1985PhRvL..54..502G,2015,1180
1985PhRvL..54..502G,2016,1187
1985PhRvL..54..502G,2017,1196
1985PhRvL..55.2676T,1986,4
1985PhRvL..55.2676T,1987,12
1985PhRvL..55.2676T,1988,28
1985PhRvL..55.2676T,1989,36
1985PhRvL..55.2676T,1990,63
1985PhRvL..55.2676T,1991,88
1985PhRvL..55.2676T,1992,127
1985PhRvL..55.2676T,1993,167
1985PhRvL..55.2676T,1994,199
1985PhRvL..55.2676T,1995,240
1985PhRvL..55.2676T,1996,281
1985PhRvL..55.2676T,1997,316
1985PhRvL..55.2676T,1998,346
1985PhRvL..55.2676T,1999,378
1985PhRvL..55.2676T,2000,408
1985PhRvL..55.2676T,2001,445
1985PhRvL..55.2676T,2002,484
1985PhRvL..55.2676T,2003,528
1985PhRvL..55.2676T,2004,568
1985PhRvL..55.2676T,2005,607
1985PhRvL..55.2676T,2006,651
1985PhRvL..55.2676T,2007,686
1985PhRvL..55.2676T,2008,724
1985PhRvL..55.2676T,2009,769
1985PhRvL..55.2676T,2010,811
1985PhRvL..55.2676T,2011,852
1985PhRvL..55.2676T,2012,899
1985PhRvL..55.2676T,2013,951
1985PhRvL..55.2676T,2014,1015
1985PhRvL..55.2676T,2015,1052
1985PhRvL..55.2676T,2016,1114
1985PhRvL..55.2676T,2017,1148
1985A&AS...62..197M,1985,1
1985A&AS...62..197M,1986,8
1985A&AS...62..197M,1987,18
1985A&AS...62..197M,1988,43
1985A&AS...62..197M,1989,68
1985A&AS...62..197M,1990,87
1985A&AS...62..197M,1991,111
1985A&AS...62..197M,1992,126
1985A&AS...62..197M,1993,146
1985A&AS...62..197M,1994,178
1985A&AS...62..197M,1995,212
1985A&AS...62..197M,1996,247
1985A&AS...62..197M,1997,291
1985A&AS...62..197M,1998,322
1985A&AS...62..197M,1999,363
1985A&AS...62..197M,2000,418
1985A&AS...62..197M,2001,472
1985A&AS...62..197M,2002,537
1985A&AS...62..197M,2003,589
1985A&AS...62..197M,2004,663
1985A&AS...62..197M,2005,730
1985A&AS...62..197M,2006,781
1985A&AS...62..197M,2007,813
1985A&AS...62..197M,2008,851
1985A&AS...62..197M,2009,901
1985A&AS...62..197M,2010,943
1985A&AS...62..197M,2011,976
1985A&AS...62..197M,2012,1013
1985A&AS...62..197M,2013,1042
1985A&AS...62..197M,2014,1068
1985A&AS...62..197M,2015,1080
1985A&AS...62..197M,2016,1104
1985A&AS...62..197M,2017,1122
1985A&AS...60..425A,1985,2
1985A&AS...60..425A,1986,15
1985A&AS...60..425A,1987,44
1985A&AS...60..425A,1988,62
1985A&AS...60..425A,1989,89
1985A&AS...60..425A,1990,118
1985A&AS...60..425A,1991,157
1985A&AS...60..425A,1992,194
1985A&AS...60..425A,1993,235
1985A&AS...60..425A,1994,291
