Author,Year,Citations,Journal,
Kuzmin,2010,1199, Physics Letters B,
Kuzmin,2011,1253, Physics Letters B,
Kuzmin,2012,1317, Physics Letters B,
Kuzmin,2013,1379, Physics Letters B,
Kuzmin,2014,1439, Physics Letters B,
Kuzmin,2015,1503, Physics Letters B,
Kuzmin,2016,1584, Physics Letters B,
Kuzmin,2017,1636, Physics Letters B,
Vilenkin,1985,2, Physics Reports,
Vilenkin,1986,46, Physics Reports,
Vilenkin,1987,128, Physics Reports,
Vilenkin,1988,218, Physics Reports,
Vilenkin,1989,305, Physics Reports,
Vilenkin,1990,396, Physics Reports,
Vilenkin,1991,467, Physics Reports,
Vilenkin,1992,551, Physics Reports,
Vilenkin,1993,627, Physics Reports,
Vilenkin,1994,710, Physics Reports,
Vilenkin,1995,794, Physics Reports,
Vilenkin,1996,848, Physics Reports,
Vilenkin,1997,894, Physics Reports,
Vilenkin,1998,937, Physics Reports,
Vilenkin,1999,964, Physics Reports,
Vilenkin,2000,990, Physics Reports,
Vilenkin,2001,1023, Physics Reports,
Vilenkin,2002,1042, Physics Reports,
Vilenkin,2003,1064, Physics Reports,
Vilenkin,2004,1082, Physics Reports,
Vilenkin,2005,1104, Physics Reports,
Vilenkin,2006,1129, Physics Reports,
Vilenkin,2007,1152, Physics Reports,
Vilenkin,2008,1181, Physics Reports,
Vilenkin,2009,1206, Physics Reports,
Vilenkin,2010,1229, Physics Reports,
Vilenkin,2011,1254, Physics Reports,
Vilenkin,2012,1282, Physics Reports,
Vilenkin,2013,1300, Physics Reports,
Vilenkin,2014,1329, Physics Reports,
Vilenkin,2015,1353, Physics Reports,
Vilenkin,2016,1379, Physics Reports,
Vilenkin,2017,1389, Physics Reports,
Antonucci,1986,14, The Astrophysical Journal,
Antonucci,1987,26, The Astrophysical Journal,
Antonucci,1988,55, The Astrophysical Journal,
Antonucci,1989,95, The Astrophysical Journal,
Antonucci,1990,136, The Astrophysical Journal,
Antonucci,1991,179, The Astrophysical Journal,
Antonucci,1992,223, The Astrophysical Journal,
Antonucci,1993,300, The Astrophysical Journal,
Antonucci,1994,358, The Astrophysical Journal,
Antonucci,1995,413, The Astrophysical Journal,
Antonucci,1996,473, The Astrophysical Journal,
Antonucci,1997,526, The Astrophysical Journal,
Antonucci,1998,576, The Astrophysical Journal,
Antonucci,1999,629, The Astrophysical Journal,
Antonucci,2000,682, The Astrophysical Journal,
Antonucci,2001,726, The Astrophysical Journal,
Antonucci,2002,755, The Astrophysical Journal,
Antonucci,2003,790, The Astrophysical Journal,
Antonucci,2004,827, The Astrophysical Journal,
Antonucci,2005,863, The Astrophysical Journal,
Antonucci,2006,901, The Astrophysical Journal,
Antonucci,2007,942, The Astrophysical Journal,
Antonucci,2008,972, The Astrophysical Journal,
Antonucci,2009,997, The Astrophysical Journal,
Antonucci,2010,1032, The Astrophysical Journal,
Antonucci,2011,1057, The Astrophysical Journal,
Antonucci,2012,1086, The Astrophysical Journal,
Antonucci,2013,1111, The Astrophysical Journal,
Antonucci,2014,1145, The Astrophysical Journal,
Antonucci,2015,1177, The Astrophysical Journal,
Antonucci,2016,1227, The Astrophysical Journal,
Antonucci,2017,1253, The Astrophysical Journal,
Gross,1985,72, Physical Review Letters,
Gross,1986,290, Physical Review Letters,
Gross,1987,511, Physical Review Letters,
Gross,1988,618, Physical Review Letters,
Gross,1989,698, Physical Review Letters,
Gross,1990,757, Physical Review Letters,
Gross,1991,798, Physical Review Letters,
Gross,1992,826, Physical Review Letters,
Gross,1993,841, Physical Review Letters,
Gross,1994,869, Physical Review Letters,
Gross,1995,886, Physical Review Letters,
Gross,1996,901, Physical Review Letters,
Gross,1997,917, Physical Review Letters,
Gross,1998,928, Physical Review Letters,
Gross,1999,948, Physical Review Letters,
Gross,2000,959, Physical Review Letters,
Gross,2001,970, Physical Review Letters,
Gross,2002,983, Physical Review Letters,
Gross,2003,1003, Physical Review Letters,
Gross,2004,1015, Physical Review Letters,
Gross,2005,1026, Physical Review Letters,
Gross,2006,1044, Physical Review Letters,
Gross,2007,1065, Physical Review Letters,
Gross,2008,1086, Physical Review Letters,
Gross,2009,1098, Physical Review Letters,
Gross,2010,1113, Physical Review Letters,
Gross,2011,1133, Physical Review Letters,
Gross,2012,1148, Physical Review Letters,
Gross,2013,1157, Physical Review Letters,
Gross,2014,1168, Physical Review Letters,
Gross,2015,1180, Physical Review Letters,
Gross,2016,1187, Physical Review Letters,
Gross,2017,1196, Physical Review Letters,
Tanihata,1986,4, Physical Review Letters,
Tanihata,1987,12, Physical Review Letters,
Tanihata,1988,28, Physical Review Letters,
Tanihata,1989,36, Physical Review Letters,
Tanihata,1990,63, Physical Review Letters,
Tanihata,1991,88, Physical Review Letters,
Tanihata,1992,127, Physical Review Letters,
Tanihata,1993,167, Physical Review Letters,
Tanihata,1994,199, Physical Review Letters,
Tanihata,1995,240, Physical Review Letters,
Tanihata,1996,281, Physical Review Letters,
Tanihata,1997,316, Physical Review Letters,
Tanihata,1998,346, Physical Review Letters,
Tanihata,1999,378, Physical Review Letters,
Tanihata,2000,408, Physical Review Letters,
Tanihata,2001,445, Physical Review Letters,
Tanihata,2002,484, Physical Review Letters,
Tanihata,2003,528, Physical Review Letters,
Tanihata,2004,568, Physical Review Letters,
Tanihata,2005,607, Physical Review Letters,
Tanihata,2006,651, Physical Review Letters,
Tanihata,2007,686, Physical Review Letters,
Tanihata,2008,724, Physical Review Letters,
Tanihata,2009,769, Physical Review Letters,
Tanihata,2010,811, Physical Review Letters,
Tanihata,2011,852, Physical Review Letters,
Tanihata,2012,899, Physical Review Letters,
Tanihata,2013,951, Physical Review Letters,
Tanihata,2014,1015, Physical Review Letters,
Tanihata,2015,1052, Physical Review Letters,
Tanihata,2016,1114, Physical Review Letters,
Tanihata,2017,1148, Physical Review Letters,
Mewe,1985,1, Astronomy and Astrophysics Supplement Series,
Mewe,1986,8, Astronomy and Astrophysics Supplement Series,
Mewe,1987,18, Astronomy and Astrophysics Supplement Series,
Mewe,1988,43, Astronomy and Astrophysics Supplement Series,
Mewe,1989,68, Astronomy and Astrophysics Supplement Series,
Mewe,1990,87, Astronomy and Astrophysics Supplement Series,
Mewe,1991,111, Astronomy and Astrophysics Supplement Series,
Mewe,1992,126, Astronomy and Astrophysics Supplement Series,
Mewe,1993,146, Astronomy and Astrophysics Supplement Series,
Mewe,1994,178, Astronomy and Astrophysics Supplement Series,
Mewe,1995,212, Astronomy and Astrophysics Supplement Series,
Mewe,1996,247, Astronomy and Astrophysics Supplement Series,
Mewe,1997,291, Astronomy and Astrophysics Supplement Series,
